content,score,reviewCreatedVersion,at,sentiment,sentiment_score
Lebih mudah pake aplikasi Brimo,5,,2024-12-10 11:49:55,LABEL_1,0.9997215867042542
Maaf mau tanya kenapa hari ini brimo saya tidak bisa di buka,5,2.74.0,2024-12-10 11:46:18,LABEL_0,0.9999104738235474
Bagus cepat memudah kan urusan,5,2.74.0,2024-12-10 11:44:32,LABEL_1,0.9995384216308594
good👍👍,5,2.74.0,2024-12-10 11:44:30,LABEL_1,0.9996107220649719
"Ternyata Brimo praktis, cepat dan gak ribet blas",5,2.74.0,2024-12-10 11:43:47,LABEL_1,0.9998021721839905
BRImo saya setiap di buka kembali sendiri itu gimana ya..?,4,2.74.0,2024-12-10 11:43:45,LABEL_0,0.9998958110809326
Uangnya aja yang ada lagi yg sabar ya sayang ilang 3ya sama aja bohong aja di sisi kita i,2,2.67.1,2024-12-10 11:43:43,LABEL_0,0.9999428987503052
Good job👍🏻👍🏻👍🏻👍🏻,5,2.74.0,2024-12-10 11:43:03,LABEL_1,0.9998378753662109
Memudahkan transaksi,5,2.74.0,2024-12-10 11:38:26,LABEL_1,0.9989344477653503
Lanjutkan brimo pelayanannya,3,2.74.0,2024-12-10 11:33:48,LABEL_0,0.999889612197876
Bri mo memang sangat membantu,5,2.63.0,2024-12-10 11:28:54,LABEL_1,0.9992313385009766
Mantap,5,2.73.0,2024-12-10 11:26:39,LABEL_1,0.9820002913475037
Sangat sulit saat unggah photo sampai saat ini pun selalu gagal..mohon pencerahan,1,2.74.0,2024-12-10 11:22:06,LABEL_0,0.9999186992645264
Aplikasi mudah dan cepat,5,2.74.0,2024-12-10 11:19:25,LABEL_1,0.9994290471076965
Baik,5,2.74.0,2024-12-10 11:19:09,LABEL_0,0.8662340641021729
Sangat membantu,5,2.74.0,2024-12-10 11:14:55,LABEL_0,0.9348582029342651
Bagus,5,2.74.0,2024-12-10 11:13:58,LABEL_1,0.9978862404823303
Makasih BRImo you the best,5,2.74.0,2024-12-10 11:08:40,LABEL_1,0.9997729659080505
Cepat dan praktis,5,,2024-12-10 11:07:47,LABEL_1,0.9997474551200867
sementara bintang 5,5,2.73.0,2024-12-10 11:04:03,LABEL_0,0.999131977558136
God Job,5,,2024-12-10 11:01:19,LABEL_1,0.9783006310462952
Ok,5,2.74.0,2024-12-10 11:01:07,LABEL_0,0.9997263550758362
sangat membantu cepat prosrsnya dan mudah untuk di gunakan,5,2.74.0,2024-12-10 11:00:39,LABEL_1,0.9987321496009827
Ya baik . Cuma kalo dapet SMS saldol ngurangin,5,2.74.0,2024-12-10 10:59:14,LABEL_0,0.9998843669891357
Kemudahan dalam menggunakan aplikasi dan bisa memantau apa saja yang keluar dan masuk,5,2.74.0,2024-12-10 10:58:53,LABEL_1,0.9978272318840027
Pake aplikasi brimo sangat mudah dan membantu banget ....,5,2.74.0,2024-12-10 10:57:23,LABEL_1,0.9997283816337585
Pelayanan nya sangat baik seler sama sekuriti nya juga pada ramah,5,2.74.0,2024-12-10 10:55:53,LABEL_1,0.9996569156646729
Sangat membantu,5,2.74.0,2024-12-10 10:54:02,LABEL_0,0.9348582029342651
Halo pihak BRI saya mengalami kendala saat akan melakukan daftar rekening BRI secara online lewat aplikasi BRI ini di langkah pertama saya sudah isi formulir nya dengan benar seperti foto KTP no nik nama lengkap nama ibu kandung dan nomor telepon yang aktif tapi keterangan tidak bisa masuk ini bagaimana tolong di bantu dong mohon maaf sebelumnya saya cuma kasih bintang 3 dulu kalau sudah bisa digunakan aplikasi nya saya akan kasih bintang 5 sekian terima kasih mohon di bantu,3,2.74.0,2024-12-10 10:53:16,LABEL_0,0.999195396900177
KENAPA INI BRIMO MAKIN HARI BUKAN MAKIN BAGUS MAKIN HARI BUKAN MAKIN BUAT APLIKASI ANDA BAGUS..MAKIN HARI MAKIN PARAH..BELI PULSA 1 HARI 1 MALAM BELUM MASUK MASUK.SANGAT BURUK APLIKASI ANDA BURUK..RATING ANDA ANJLOK MOHON DI PERBAIKI..BELI PILSA BELUM MASUK MASUK,1,2.74.0,2024-12-10 10:52:42,LABEL_0,0.9999191761016846
Biar bintang yang berbicara,5,2.74.0,2024-12-10 10:49:27,LABEL_0,0.9996100068092346
Sangat membantu,5,2.74.0,2024-12-10 10:49:08,LABEL_0,0.9348582029342651
Permudahkan transaksi saya,5,2.74.0,2024-12-10 10:44:18,LABEL_1,0.9186062216758728
Update terlalu berulang dalam rentang yang dekat,3,2.72.0,2024-12-10 10:42:34,LABEL_0,0.9999312162399292
Bagus.. Tp kl ada masalah ribet,5,,2024-12-10 10:40:52,LABEL_0,0.9999256134033203
nyaman sekali,5,2.74.0,2024-12-10 10:40:43,LABEL_0,0.9999181032180786
Binkin mudah bertransaksi,5,2.74.0,2024-12-10 10:40:15,LABEL_1,0.9996059536933899
Bagus banget fiturnya memudahkan untuk transaksi,5,2.74.0,2024-12-10 10:39:18,LABEL_1,0.9997197985649109
Sangat membantu. 👍,5,2.74.0,2024-12-10 10:38:08,LABEL_1,0.9979004859924316
